,original,paraphrase,output,output_reference
380,"That hast the sighte of hire, and I th'absence.
","I'm glad to see the hire, and I'm not missing."," I am glad to see the hire, and I am not missing.","That hast the sight of her, and I the absence.
"
381,"For possible is, syn thou hast hire presence,
","you can hire a presence, you can hire a presence, you can hire a presence."," You can hire a presence, hire a presence, hire a presence, hire a presence, hire a presence, hire a presence, hire a presence, hire a presence, hire a presence, hire a ","For it is possible, since thou hast her presence,
"
382,"And art a knyght, a worthy and an able,
","art a knave, a worthy and able man."," Art a knave, a worthy and able man.","And art a knight, a worthy and an able (one),
"
383,"That by som cas, syn Fortune is chaungeable,
","syn Fortune is a chauntee, syn Fortune is a chauntee."," Syn Fortune is chauntee, syn Fortune is chauntee.","That by some chance, since Fortune is changeable,
"
384,"Thow maist to thy desir somtyme atteyne.
","you have a lot of work to do, maist, so you better do it."," You have a lot of work to do, maist, so you better do it.","Thou mayest sometime attain thy desire.
"
385,"But I, that am exiled and bareyne
",I'm a prisoner and I'm a prisoner of the barenese., I am a prisoner and a prisoner of the barenese.,"But I, who am exiled and barren
"
386,"Of alle grace, and in so greet dispeir
","in the name of God, and in the name of God, and in the name of God, and in the name of God, and in..."," in the name of God, and in the name of God, and in the name of God, and in the name of God, and in the name of God, and in the name of God, and in the name of God, and in the name of God,","Of all grace, and in so great despair
"
387,"That ther nys erthe, water, fir, ne eir,
","nys erthe, water, fir, ne eir,"," nys erthe, water, fir, ne eir,","That there is not earth, water, fire, nor air,
"
388,"Ne creature that of hem maked is,
","the creature is made of a creature, which is made of a creature, which is made of a creature, which..."," And the creature is made of a creature, which is made of a creature, which is made of a creature, which is made of a creature, which is made of a creature, which is made of a creature, which is made of a creature, which is made of a creature, which is made","Nor creature that is made of them,
"
389,"That may me helpe or doon confort in this,
","I'm going to do it, or I'm gonna do it myself."," I will do it, or I will do it myself","That can help me or do comfort (to me) in this,
"
390,"Wel oughte I sterve in wanhope and distresse.
",I'm hoping and distressing. I hope and despair.," I hope and despair, I hope and I despair.","Well ought I to die in despair and distress.
"
391,"Farwel my lif, my lust, and my gladnesse!
","I'm glad I'm alive, my lust, my joy, and my joy!"," I am glad to be alive, my lust, my joy, and my joy!","Farwell my life, my desire, and my gladness!
"
392,"""Allas, why pleynen folk so in commune
","as for the pleynese, why do they go to the commune?"," And as for the pleynese, why do they go to the commune?","""Alas, why do folk so commonly complain
"
393,"On purveiaunce of God, or of Fortune,
","the God of God, or the fortune of the gods."," The God of God, or the fortune of the gods.","About the providence of God, or of Fortune,
"
394,"That yeveth hem ful ofte in many a gyse
","he's a lot of fun, and he's a lot of fun, too, for a lot of people."," He is a lot of fun, and he is a lot of fun, too, for a lot of people.","That gives them full often in many a manner
"
395,"Wel bettre than they kan hemself devyse?
",do you think they're going to be able to do it?, Do ye think they can do it?,"Much better than they can themselves imagine?
"
396,"Som man desireth for to han richesse,
","the man wants to be rich, but he wants to be rich."," The man wants to be rich, but he wants to be rich.","One man desires to have riches,
"
397,"That cause is of his mordre or greet siknesse;
",it's a mordre or greet to the mordre or greet;, It's a mordre or greet to the mordre;,"Which is the cause of his murder or great sickness;
"
398,"And som man wolde out of his prisoun fayn,
",som man wis wis wis wis wis wis wis wis wis wis wis wis wis wis wis wis w, som man wis wis wis wis wis wis wis wis wis wis wis wis wis wis wis,"And one man would happily (go) out of his prison,
"
399,"That in his hous is of his meynee slayn.
",he's got a meynee kill in his house., He hath a meynee kill in his house.,"Who is slain in his house by members of his household.
"
400,"Infinite harmes been in this mateere.
",the mateere has been damaged by infinite damage., The mateere hath been damaged by infinite damage.,"Infinite harms are in this matter.
"
401,"We witen nat what thing we preyen heere;
",we're gonna be able to tell what we're going to be preyed upon;, We shall be able to tell what we are preyed upon;,"We know not what thing we pray for here;
"
402,"We faren as he that dronke is as a mous.
",he's a mous as a mous., He mous as mous.,"We act like one who is drunk as a mouse.
"
403,"A dronke man woot wel he hath an hous,
","the dronke man's got a house, he's got a house, he's got a house, he's got a house, he's got a..."," The dronke man hath a house, he hath a house, he hath a house, he hath a house, he hath a house, he hath a house, he hath a house, he hath a house, he hath a house, he hath a","A drunk man knows well he has a house,
"
404,"But he noot which the righte wey is thider,
","noot, the righte wey is the righte wey."," Noot, the righte wey is the righte wey.","But he does not know which is the right way to it,
"
405,"And to a dronke man the wey is slider.
",the wey is a slipper on a dronke., The wey is a slipper on a dronke,"And to a drunk man the way is slippery.
"
406,"And certes, in this world so faren we;
","certes, in this world, we're so lucky;", We are so lucky;,"And certainly, so we fare in this world;
"
407,"We seken faste after felicitee,
","after felicitee, the sek was fastened to the felicitee."," And the sek was fastened to felicitee,","We seek eagerly after felicity,
"
408,"But we goon wrong ful often, trewely.
","we're often wrong, but we're often too much of a fool."," We are often wrong, but we are too much of a fool","But we go wrong very often, truly.
"
409,"Thus may we seyen alle, and namely I,
","we can see alle, and I, and I, and I, and I, and I, and I, and I, and I, and I, and I, and"," We can see alle, and I, and I, and I, and I, and I, and I, and I, and I, and I, and ","Thus can we all say, and especially I,
"
410,"That wende and hadde a greet opinioun
",wende and hadde a welcome opinion., Wende and hadde a welcome opinion.,"Who supposed and had a firm belief
"
411,"That if I myghte escapen from prisoun,
","if I'm escapen from the Prisoun,"," If I am escapen from the Prisoun,","That if I might escape from prison,
"
412,"Thanne hadde I been in joye and parfit heele,
","I was happy and happy, and I was happy to be happy."," I was happy and happy, and I was happy to be happy.","Then I would have been in joy and perfect well-being,
"
413,"Ther now I am exiled fro my wele.
",I'm now banned from the wele., I now ban my wele.,"Whereas now I am exiled from my source of happiness.
"
414,"Syn that I may nat seen you, Emelye,
","I'm sure you'll see me, Emelye, Natalya, Natalya, Natalya, Natalya, Natalya, Natalya"," I know you, Emelye, Natalya, Natalya, Natalya, Natalya, Natalya, Natalya, Natalya, Natalya, Natalya, ","Since I can not see you, Emelye,
"
415,"I nam but deed; ther nys no remedye.""
","""but there's no remedy for it, nam, nam, nam."""," "" But there is no remedy for it, nam, nam, nam,","I am as good as dead; there is not any remedy.""
"
416,"Upon that oother syde Palamon,
","the other syde Palamon, the other syde Palamon, the other syde Palamon."," The other syde Palamon, the other syde PalâĢĻs, the other syde PalâĢĻs, the other syde PalâĢĻs,","Upon that other side Palamon,
"
417,"Whan that he wiste Arcite was agon,
","when he was agonizing, he was afraid of Arcite."," When he was agonizing, he was afraid of Arcite.","When he knew Arcite was gone,
"
418,"Swich sorwe he maketh that the grete tour
","the grete tour is the grete tour, the grete tour is the grete tour."," The grete tour is the grete tour, the grete tour is the grete tour.","He makes such sorrow that the great tour
"
419,"Resouneth of his youlyng and clamour.
",you will be able to hear the sounds of the clamor and the noise., You shall hear the sounds of clamor and the noise of the clamor and the noise of the clamor and the noise of the clamor and the noise of the clamor and the ,"Resounds with his yowling and clamor.
"
420,"The pure fettres on his shynes grete
",the pure fetters on the shynes of the shynes., The pure fetters on the shynes of the shynes,"The great fetters themselves on his shins
"
421,"Weren of his bittre, salte teeres wete.
","he was wet with his bittre, the wet-eyed tippers."," He was wet with his bittre, the wet-eyed tippers.","Were wet from his bitter, salt tears.
"
422,"""Allas,"" quod he, ""Arcita, cosyn myn,
","""as I have said, myn, as I have said, myn,"" quod he."," "" As I have said, myn, as I have said, myn, as I have said, myn,"" quod he.","""Alas,"" said he, ""Arcite, cousin mine,
"
423,"Of al oure strif, God woot, the fruyt is thyn.
","God's woot, the fruit is thyn."," God woot, the fruit of thyn.","Of all our strife, God knows, the profit is thine.
"
424,"Thow walkest now in Thebes at thy large,
","now you're going to go to the great Ates, now you're going to go to the great Ates."," And now you go to the great Ates, and go to the great Ates,","Thou walkest freely now in Thebes,
"
425,"And of my wo thow yevest litel charge.
",I'm gonna charge you a charge for my wo thow., I charge thee a charge for my wo thow.,"And thou care little about my woe.
"
426,"Thou mayst, syn thou hast wisdom and manhede,
","you have wisdom and a manhole, you're a fool."," You have wisdom and a manhole, you're a fool.","Thou mayest, since thou hast wisdom and manhood,
"
