,original,paraphrase,output,output_reference
426,"Thou mayest, since thou hast wisdom and manhood,
","you have wisdom and strength, so you can handle it."," And ye have wisdom and strength, so ye can handle it.","Thou mayst, syn thou hast wisdom and manhede,
"
427,"Assemble all the folk of our family,
","all the family members, all the family members, all the family members, all the family members, all..."," All the family members, all the family members, all the family members, all the family members, all the family members, all the family members, all the family members, all the family members, all the family members, all the family members, all the family members, all the family members,","Assemblen alle the folk of oure kynrede,
"
428,"And make a war so sharp on this city
",make the city so fierce in the war., Make the city so fierce in war.,"And make a werre so sharp on this citee
"
429,"That by some chance or some treaty
",by some chance or some agreement with the United States., By some chance or some agreement with the United States.,"That by som aventure or some tretee
"
430,"Thou mayest have her as lady and as wife
",you can have her as a woman and a wife.," You can have her as a woman and a wife, and a wife.","Thow mayst have hire to lady and to wyf
"
431,"For whom I must of necessity lose my life.
",I have to lose my life for whom I have to lose my life., I have to lose my life for whom I have to lose my life.,"For whom that I moste nedes lese my lyf.
"
432,"For, as by way of possibility,
","as a result of the possibility, the possibility is also a possibility.", The possibility of the possibility is also a possibility.,"For, as by wey of possibilitee,
"
433,"Since thou art at thy liberty, free of prison,
","you have freedom, you're free to go, you're free to go, you're free to go, you're free to go,"," You have freedom, you have freedom, you have freedom, you have freedom, you have freedom, you have freedom, you have freedom, you have ","Sith thou art at thy large, of prisoun free,
"
434,"And art a lord, thy advantage is great,
","art a great advantage for you, sir."," Art a great advantage for you, sir.","And art a lord, greet is thyn avauntage
"
435,"More than is mine, who die here in a cage.
","I'm not dying here, but I'm dying in a cage."," I am not dying here, but I die in a cage.","Moore than is myn, that sterve here in a cage.
"
436,"For I must weep and wail, while I live,
","I'm crying and crying, and I'm crying, and I'm crying, and I'm crying, and I'm crying, and I"," I cry and cry, and I cry, and I cry, and I cry, and I ","For I moot wepe and wayle, whil I lyve,
"
437,"With all the woe that prison may give me,
","the prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in."," The prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in, the prison I'm in,","With al the wo that prison may me yive,
"
438,"And also with pain that love gives me also,
",and I'm also suffering from pain that love gives me., And I am suffering from pain that love gives me.,"And eek with peyne that love me yeveth also,
"
439,"That doubles all my torment and my woe.""
","it's a double torment and a curse. """, It is a double torment and a curse.,"That doubleth al my torment and my wo.""
"
440,"With that the fire of jealousy started up
",the jealousy began to burn in the fire., The jealousy began to burn in the fire.,"Therwith the fyr of jalousie up sterte
"
441,"Within his breast, and seized him by the heart
",he gripped his chest with his chest and gripped his chest with his chest.," He gripped his chest with his chest and his bosom,","Withinne his brest, and hente him by the herte
"
442,"So madly that he was to look upon like
","he looked like a madman, and he looked like a fool."," He looked like a madman, and he looked like a fool.","So woodly that he lyk was to biholde
"
443,"The box tree or the ash dead and cold.
","the box is a box of boxes, the ash is a box of boxes."," The box of boxes is a box of boxes, the ash is a box of boxes.","The boxtree or the asshen dede and colde.
"
444,"Then said he, ""O cruel gods that govern
","""the cruel gods who rule the world,"" he said."," "" The cruel gods that rule the world, he said.","Thanne seyde he, ""O crueel goddes that governe
"
445,"This world with binding of your eternal word,
",world where you have a binding word to your eternal word., World where you have a binding word to your eternal word.,"This world with byndyng of youre word eterne,
"
446,"And write in the table of adamant (hardest of stones)
",write in the table of adamant (hardest of rocks), Write in the table of adamant (hardest of rocks),"And writen in the table of atthamaunt
"
447,"Your decision and your eternal decree,
",your eternal decree and your eternal decree., Your eternal decree and your eternal decree.,"Youre parlement and youre eterne graunt,
"
448,"Why is mankind more obligated unto you
",what is more important to you than humanity?, What more is more important than humanity?,"What is mankynde moore unto you holde
"
449,"Than is the sheep that cowers in the sheepfold?
",then why does the sheep cower in the sheepfold?, Then why do the sheep cower in the sheepfold?,"Than is the sheep that rouketh in the folde?
"
450,"For man is slain exactly like another beast,
","the man is killed as a beast, like a monster."," The man is slain as a beast, as a monster.","For slayn is man right as another beest,
"
451,"And dwells also in prison and detention,
","he's also in prison and detention, and he's also in jail."," And he is also in prison and detention, and he is in prison.","And dwelleth eek in prison and arreest,
"
452,"And has sickness and great adversity,
","it's a disease and a great danger, and it's a disease that can be fatal."," It is a disease and a great danger, and it is a disease that can be fatal.","And hath siknesse and greet adversitee,
"
453,"And often times guiltless, indeed.
","sometimes, it's a shame, but sometimes it's a shame."," Sometimes, it is a shame, but sometimes it is a shame.","And ofte tymes giltelees, pardee.
"
454,"""What (sort of) governance is in this foreknowledge,
","what (kind of) management is this knowledge, what (kind of) management is this knowledge, what..."," What (kind of) management is this knowledge, what (kind of) management is this","""What governance is in this prescience,
"
455,"That torments guiltless innocence?
",isn't it a shame that innocent people suffer?, Is not it a shame that innocent people suffer?,"That giltelees tormenteth innocence?
"
456,"And yet this increases all my suffering,
",but it's all my suffering that increases my suffering., But it is all my suffering that increases my suffering.,"And yet encresseth this al my penaunce,
"
457,"That man is bound to his duty,
","the man is bound by his duty, and he must be held accountable."," The man is bound by his duty, and must be held accountable.","That man is bounden to his observaunce,
"
458,"For God's sake, to refrain from his desire,
","for God's sake, don't want him to want you."," For God's sake, don't want him to want you.","For Goddes sake, to letten of his wille,
"
459,"Whereas a beast may fulfill all his desire.
",a beast can fulfill all his desires., A beast can fulfill all his desires.,"Ther as a beest may al his lust fulfille.
"
460,"And when a beast is dead he has no pain;
","when a monster dies, there's no pain in him;"," And when a monster dies, there is no pain in him;","And whan a beest is deed he hath no peyne;
"
461,"But man after his death must weep and lament,
",he must weep and weep after his death., He must weep and weep for his death.,"But man after his deeth moot wepe and pleyne,
"
462,"Though in this world he may have (had) care and woe.
",he may have had a care and a burden in this world., He may have a care and a burden in this world.,"Though in this world he have care and wo.
"
463,"Without doubt such is the case.
","of course, it is true that such is true."," Of course, it is true that such is the truth.","Withouten doute it may stonden so.
"
464,"The answer to this I leave to theologians,
","the answer to this question is to theologians,"," The answer to this question is to theologians,","The answere of this lete I to dyvynys,
"
